Youtuber,Subscribers,Video views,Total Video count,Country,Category,Youtuber since,Last 7 Days Subscribers,Last 30 Days Subscribers,Last 90 Days Subscribers,Estimated earnings in past 30 days
JustinBieberVEVO,"31,300,000","29,085,412,980",204, ,Music,2009,"['0', '29,293,761']","['0', '58,587,522']","['0', '342,774,934']",$ 22K - $ 132K
_vector_,"31,300,000","22,793,817,884",601,United States (US)               ,Comedy,2019,"['0', '30,162,219']","['0', '136,423,138']","['500,000', '593,252,723']",$ 51.2K - $ 307K
jacksepticeye,"30,900,000","17,146,754,257",5244,Ireland (IE)               ,Gaming,2007,"['0', '11,435,884']","['0', '24,505,465']","['0', '112,118,002']",$ 9.19K - $ 55.1K
Bobby chourasiya,"30,900,000","16,501,237,124",618,India (IN)               ,People,2019,"['43,750', '40,207,393']","['100,000', '91,902,611']","['400,000', '334,975,419']",$ 34.5K - $ 207K
Justin Flom,"30,800,000","30,071,766,342",1051,United States (US)               ,Entertainment,2006,"['200,000', '388,016,580']","['400,000', '776,033,159']","['1,700,000', '2,205,016,886']",$ 291K - $ 1.75M
Drake,"30,800,000","19,580,741,985",77, ,Music,2009,"['58,334', '57,052,227']","['100,000', '244,509,543']","['300,000', '576,907,439']",$ 91.7K - $ 550K
ashish chanchlani vines,"30,700,000","4,987,967,419",159, ,Comedy,2009,"['50,000', '5,322,112']","['100,000', '10,644,224']","['200,000', '73,285,297']",$ 3.99K - $ 23.9K
Kids TV - Nursery Rhymes And Baby Songs,"30,700,000","15,555,718,630",4484,United States (US)               ,Shows,2013,"['0', '15,349,113']","['0', '26,312,765']","['100,000', '138,675,960']",$ 9.87K - $ 59.2K
Alan Becker,"30,500,000","8,120,756,588",232,United States (US)               ,Film,2006,"['58,334', '30,940,935']","['100,000', '53,041,602']","['600,000', '241,336,558']",$ 19.9K - $ 119K
Maluma,"30,500,000","24,821,337,614",67, ,Music,2018,"['58,334', '69,916,405']","['100,000', '299,641,735']","['200,000', '473,533,458']",$ 112K - $ 674K
JYP Entertainment,"30,400,000","24,398,191,276",2346,,Music,2008,"['0', '43,879,285']","['0', '87,758,569']","['200,000', '355,509,465']",$ 32.9K - $ 197K
Shawn Mendes,"30,400,000","14,437,583,199",189,Canada (CA)               ,Music,2011,"['0', '5,416,179']","['0', '23,212,194']","['100,000', '165,061,339']",$ 8.7K - $ 52.2K
Susy Mouriz,"30,000,000","13,367,115,262",2075,Mexico (MX)               ,Entertainment,2017,"['215,385', '144,742,820']","['400,000', '268,808,093']","['2,300,000', '1,166,156,706']",$ 101K - $ 605K
Trap Nation,"30,300,000","14,791,120,935",2957,United States (US)               ,Music,2012,"['0', '7,267,141']","['0', '12,457,956']","['0', '72,134,595']",$ 4.67K - $ 28K
toycantando,"30,200,000","19,057,638,996",913,Colombia (CO)               ,Music,2009,"['0', '13,541,945']","['0', '58,036,905']","['200,000', '435,727,841']",$ 21.8K - $ 131K
America's Got Talent,"30,200,000","5,219,793,538",2207, ,Entertainment,2006,"['26,924', '8,012,807']","['115,385', '16,025,614']","['100,000', '95,151,654']",$ 6.01K - $ 36.1K
Netflix,"30,100,000","9,435,008,343",7976,United States (US)               ,Entertainment,2012,"['31,819', '15,755,043']","['136,364', '29,259,365']","['300,000', '207,375,810']",$ 11K - $ 65.8K
ABPLIVE,"30,100,000","10,885,986,574",267468,India (IN)               ,People,2017,"['46,667', '24,664,151']","['200,000', '129,587,397']","['400,000', '330,427,796']",$ 48.6K - $ 292K
Kidibli (Kinder Spielzeug Kanal),"30,100,000","16,038,516,607",1254,Germany (DE)               ,Entertainment,2015,"['26,924', '29,327,629']","['115,385', '54,465,596']","['500,000', '394,514,431']",$ 20.4K - $ 123K
Preston,"30,000,000","11,646,737,742",4212,United States (US)               ,Gaming,2012,"['53,847', '36,595,467']","['100,000', '67,963,009']","['500,000', '260,923,342']",$ 25.5K - $ 153K
Taarak Mehta Ka Ooltah Chashmah,"30,000,000","28,422,461,895",16573,India (IN)               ,Entertainment,2014,"['131,250', '250,450,288']","['500,000', '1,057,297,473']","['1,700,000', '2,918,916,900']",$ 396K - $ 2.38M
Diana and Roma ARA,"29,900,000","13,798,940,882",760,United States (US)               ,Youtuber,2019,"['46,667', '19,476,711']","['200,000', '84,513,054']","['500,000', '271,551,475']",$ 31.7K - $ 190K
Sun TV,"29,900,000","34,272,392,548",126355,India (IN)               ,People,2016,"['50,000', '139,180,806']","['100,000', '278,361,612']","['500,000', '1,400,790,801']",$ 104K - $ 626K
invictor,"29,800,000","10,597,380,206",2801,United States (US)               ,Gaming,2013,"['53,847', '20,923,674']","['200,000', '64,418,423']","['800,000', '231,118,557']",$ 24.2K - $ 145K
Natan por AÃ­,"29,800,000","18,311,744,245",1826, ,Sports,2017,"['93,334', '65,791,464']","['200,000', '140,981,708']","['2,500,000', '928,980,205']",$ 52.9K - $ 317K
ViralHog,"29,800,000","37,186,110,774",53455,United States (US)               ,People,2014,"['58,334', '73,096,733']","['100,000', '125,308,684']","['300,000', '645,354,714']",$ 47K - $ 282K
Renato Garcia,"29,800,000","9,554,223,928",4893,Brazil (BR)               ,Entertainment,2011,"['46,667', '12,794,627']","['100,000', '55,435,711']","['300,000', '188,606,626']",$ 20.8K - $ 125K
Soy Suco,"29,700,000","5,713,785,310",1037,Mexico (MX)               ,Gaming,2017,"['87,500', '32,245,141']","['300,000', '115,849,890']","['1,000,000', '325,590,538']",$ 43.4K - $ 261K
Bebefinn - Nursery Rhymes & Kids Songs,"29,700,000",0,743,United States (US)               ,Youtuber,2022,"['131,250', '6,730,521,574']","['500,000', '15,172,701,413']","['1,800,000', '14,044,713,184']",
Ultra Movie Parlour,"29,600,000","6,343,416,709",2228, ,Movies,2011,"['53,847', '18,890,080']","['100,000', '35,081,576']","['500,000', '143,470,221']",$ 13.2K - $ 78.9K
The Royalty Family,"29,500,000","10,107,372,553",814,United States (US)               ,People,2017,"['93,334', '46,987,494']","['200,000', '100,687,487']","['1,100,000', '572,346,856']",$ 37.8K - $ 227K
Rafa & Luiz,"29,500,000","10,930,908,184",4138,Brazil (BR)               ,Entertainment,2015,"['50,000', '40,175,572']","['100,000', '80,351,144']","['900,000', '466,872,557']",$ 30.1K - $ 181K
Chapitosiki,"29,500,000","29,561,667,734",4782,Russian Federation (RU)               ,Entertainment,2020,"['87,500', '231,723,259']","['400,000', '915,758,809']","['1,100,000', '1,789,610,294']",$ 343K - $ 2.06M
Vania Mania Kids,"29,500,000","15,470,107,638",1542,Russian Federation (RU)               ,People,2015,"['50,000', '73,595,974']","['200,000', '215,314,309']","['600,000', '640,202,080']",$ 80.7K - $ 484K
Jordan Matter,"29,400,000","10,740,086,861",516,United States (US)               ,Entertainment,2006,"['131,250', '69,993,329']","['600,000', '279,704,407']","['1,600,000', '720,802,894']",$ 105K - $ 629K
WB Kids,"29,200,000","13,519,583,581",2483,United States (US)               ,People,2015,"['53,847', '20,374,259']","['100,000', '37,837,909']","['300,000', '193,227,882']",$ 14.2K - $ 85.1K
Wiz Khalifa,"29,300,000","15,089,016,356",829,United States (US)               ,Music,2008,"['25,926', '22,046,417']","['111,112', '94,484,642']","['200,000', '234,447,452']",$ 35.4K - $ 213K
DanTDM,"29,200,000","20,138,105,277",3751,United Kingdom (GB)               ,Gaming,2012,"['0', '6,265,051']","['0', '11,635,093']","['0', '55,265,785']",$ 4.36K - $ 26.2K
Raffy Tulfo in Action,"29,100,000","17,408,891,374",12319,Philippines (PH)               ,News,2016,"['25,000', '22,753,924']","['107,143', '48,758,407']","['300,000', '273,741,336']",$ 18.3K - $ 110K
AuronPlay,"29,100,000","4,226,718,302",402,Spain (ES)               ,Comedy,2006,"['0', '1,808,100']","['0', '3,357,900']","['0', '22,511,905']",$ 1.26K - $ 7.56K
Popular on YouTube,"29,000,000",0,0, ,Youtuber,2013,"['0', '0']","['0', '0']","['0', '0']",$ 0 - $ 0
ZHC,"29,000,000","3,702,702,223",297,India (IN)               ,Film,2013,"['46,667', '14,401,986']","['100,000', '30,861,397']","['600,000', '122,164,613']",$ 11.6K - $ 69.4K
Pen Movies,"29,000,000","8,814,441,321",1796,India (IN)               ,Film,2014,"['50,000', '11,719,119']","['100,000', '23,438,238']","['400,000', '151,733,951']",$ 8.79K - $ 52.7K
Peppa Pig EspaÃ±ol Latino - Canal Oficial,"28,900,000","10,817,762,706",1888,Mexico (MX)               ,Film,2014,"['50,000', '42,823,704']","['100,000', '85,647,407']","['700,000', '496,594,007']",$ 32.1K - $ 193K
ILYA BORZOV,"28,900,000","19,290,162,696",3282,Russian Federation (RU)               ,People,2021,"['87,500', '139,070,839']","['200,000', '317,876,203']","['1,200,000', '1,215,315,952']",$ 119K - $ 715K
Vlad and Niki ESP,"28,900,000","12,016,733,509",733,United States (US)               ,Entertainment,2018,"['50,000', '22,123,712']","['100,000', '44,247,424']","['500,000', '270,267,297']",$ 16.6K - $ 99.6K
Diana and Roma HIN,"28,800,000","13,219,694,938",750,United States (US)               ,Youtuber,2019,"['0', '8,182,362']","['0', '33,181,411']","['300,000', '160,282,640']",$ 12.4K - $ 74.7K
Diana and Roma EN,"28,800,000","10,042,341,847",680,Russian Federation (RU)               ,People,2011,"['100,000', '41,614,137']","['200,000', '83,228,273']","['1,000,000', '509,689,108']",$ 31.2K - $ 187K
BigChungus,"28,700,000","5,160,973,123",820,Argentina (AR)               ,Entertainment,2020,"['30,435', '3,769,208']","['130,435', '6,999,957']","['800,000', '120,917,780']",$ 2.62K - $ 15.7K
Goldmines Movies,"28,700,000","6,866,250,751",6262, ,Film,2013,"['50,000', '17,772,071']","['100,000', '35,544,142']","['500,000', '186,741,358']",$ 13.3K - $ 80K
Ricky Limon,"28,700,000","11,210,091,245",1432,Mexico (MX)               ,Entertainment,2012,"['218,750', '213,242,922']","['500,000', '487,412,392']","['2,400,000', '1,427,897,935']",$ 183K - $ 1.1M
jaanvi patel,"28,700,000","12,380,021,893",767,India (IN)               ,People,2018,"['43,750', '67,473,693']","['100,000', '154,225,583']","['500,000', '228,124,207']",$ 57.8K - $ 347K
Aja Kitchen,"28,500,000","18,561,264,219",2474,India (IN)               ,Entertainment,2021,"['50,000', '74,037,845']","['214,286', '158,652,523']","['500,000', '649,190,381']",$ 59.5K - $ 357K
Sandeep Maheshwari,"28,500,000","2,448,422,898",639,India (IN)               ,People,2012,"['0', '1,670,818']","['0', '3,341,636']","['0', '3,558,815']",$ 1.25K - $ 7.52K
Filaretiki,"28,400,000","28,813,388,646",4591,United States (US)               ,People,2021,"['50,000', '152,785,313']","['100,000', '305,570,626']","['1,200,000', '1,428,668,677']",$ 115K - $ 688K
The Late Late Show with James Corden,"28,300,000","10,293,884,805",5788,United Kingdom (GB)               ,Entertainment,2006,"['0', '2,801,639']","['0', '5,603,278']","['0', '36,821,197']",$ 2.1K - $ 12.6K
ZappyToons - Hindi Nursery Rhymes and Stories,"28,200,000","14,464,093,588",712,India (IN)               ,Youtuber,2017,"['175,000', '172,974,562']","['300,000', '296,527,820']","['1,200,000', '959,034,015']",$ 111K - $ 667K
LIV Crime,"28,200,000","14,883,254,266",18884,India (IN)               ,People,2020,"['24,138', '16,073,031']","['100,000', '73,890,233']","['500,000', '276,457,190']",$ 27.7K - $ 166K
Village Cooking Channel,"28,200,000","8,339,329,243",240,India (IN)               ,Howto,2018,"['93,334', '926,544']","['300,000', '57,065,596']","['800,000', '288,602,482']",$ 21.4K - $ 128K
Chris Brown,"28,200,000","19,170,093,128",65, ,Music,2006,"['58,334', '23,904,060']","['100,000', '102,445,971']","['400,000', '514,867,999']",$ 38.4K - $ 231K
CuRe êµ¬ë,"28,200,000","19,200,491,752",575,United States (US)               ,Comedy,2021,"['131,250', '190,310,279']","['500,000', '611,179,369']","['1,000,000', '1,200,099,268']",$ 229K - $ 1.38M
Post Malone,"28,100,000","18,281,122,472",151, ,Music,2011,"['58,334', '17,410,836']","['100,000', '74,617,867']","['200,000', '420,151,837']",$ 28K - $ 168K
Anuel AA,"28,100,000","20,094,488,057",174,Puerto Rico (PR)               ,Music,2016,"['25,926', '99,650,525']","['111,112', '199,301,049']","['300,000', '861,285,664']",$ 74.7K - $ 448K
Disney Jr. LatinoamÃ©rica,"28,000,000","14,014,755,614",5338,Argentina (AR)               ,Entertainment,2007,"['50,000', '48,258,145']","['100,000', '96,516,290']","['800,000', '576,782,751']",$ 36.2K - $ 217K
Dhruv Rathee,"28,000,000","4,123,456,149",678,India (IN)               ,Entertainment,2013,"['58,334', '25,035,555']","['100,000', '42,918,094']","['1,000,000', '285,480,831']",$ 16.1K - $ 96.6K
ì¹ë¹ë Seungbini,"28,000,000","22,088,141,921",611, ,People,2021,"['43,750', '126,117,550']","['300,000', '540,270,793']","['1,200,000', '1,435,084,623']",$ 203K - $ 1.22M
Jesser,"28,000,000","6,898,084,509",1474,United States (US)               ,Gaming,2012,"['484,616', '103,738,051']","['900,000', '192,656,380']","['3,500,000', '609,882,790']",$ 72.2K - $ 433K
El Payaso Plim Plim,"27,900,000","34,515,993,248",1878,Argentina (AR)               ,Film,2013,"['150,000', '301,873,860']","['300,000', '603,747,719']","['1,800,000', '3,585,547,930']",$ 226K - $ 1.36M
toyorbabytv,"27,700,000","21,334,271,431",1391,Jordan (JO)               ,Music,2012,"['58,334', '65,494,212']","['100,000', '112,275,791']","['500,000', '661,348,337']",$ 42.1K - $ 253K
vlogger varun,"27,900,000","11,448,664,278",793,India (IN)               ,Entertainment,2018,"['87,500', '75,080,675']","['200,000', '171,612,971']","['1,200,000', '718,270,413']",$ 64.4K - $ 386K
BeyoncÃ©,"27,900,000","20,296,600,020",265, ,Music,2005,"['25,926', '43,785,977']","['111,112', '187,654,184']","['200,000', '370,988,429']",$ 70.4K - $ 422K
Lady Gaga,"27,900,000","20,682,331,453",232, ,People,2008,"['100,000', '105,837,776']","['200,000', '211,675,552']","['1,900,000', '1,377,933,054']",$ 79.4K - $ 476K
Cacau Haxkar,"27,700,000","8,369,699,800",1588,Brazil (BR)               ,People,2021,"['31,819', '78,700,802']","['136,364', '146,158,631']","['1,700,000', '608,928,211']",$ 54.8K - $ 329K
enchufetv,"27,800,000","10,931,534,512",2259,Ecuador (EC)               ,Comedy,2011,"['53,847', '5,342,173']","['100,000', '9,921,178']","['100,000', '40,153,896']",$ 3.72K - $ 22.3K
7clouds,"27,700,000","22,952,095,466",3004,Serbia (RS)               ,Music,2013,"['140,000', '126,013,448']","['300,000', '270,028,816']","['1,400,000', '1,497,609,116']",$ 101K - $ 608K
Beast Philanthropy,"27,700,000","1,101,094,831",66,United States (US)               ,People,2020,"['50,000', '4,352,755']","['100,000', '8,705,510']","['400,000', '49,206,744']",$ 3.26K - $ 19.6K
BabyBus - Canciones Infantiles & Videos para NiÃ±os,"27,600,000","16,468,548,784",1744,Mexico (MX)               ,Education,2018,"['46,667', '49,554,824']","['100,000', '106,188,907']","['600,000', '536,117,317']",$ 39.8K - $ 239K
Tappu Honey Parmar,"27,600,000","12,764,526,973",3120,India (IN)               ,Music,2022,"['161,539', '221,323,156']","['300,000', '411,028,718']","['1,600,000', '1,196,347,146']",$ 154K - $ 925K
Yellow Dress Girl,"27,600,000","14,116,441,941",1203,United States (US)               ,Entertainment,2015,"['53,847', '50,528,815']","['100,000', '93,839,227']","['700,000', '392,626,685']",$ 35.2K - $ 211K
Sony AATH,"27,600,000","21,117,718,460",24561,United States (US)               ,Shows,2013,"['50,000', '73,992,865']","['300,000', '289,493,262']","['900,000', '900,678,733']",$ 109K - $ 651K
Coldplay,"27,600,000","20,850,565,253",543, ,Music,2010,"['25,926', '46,431,857']","['100,000', '179,094,303']","['300,000', '387,744,510']",$ 67.2K - $ 403K
SMOL,"27,600,000","27,999,322,228",6900,United States (US)               ,People,2021,"['0', '18,190,092']","['0', '36,380,184']","['100,000', '228,082,068']",$ 13.6K - $ 81.9K
ToyPuddingTV,"27,500,000","16,524,799,006",2417,United States (US)               ,Entertainment,2014,"['31,819', '7,718,248']","['136,364', '13,231,281']","['100,000', '74,689,422']",$ 4.96K - $ 29.8K
Valentina Pontes ofc,"27,500,000","11,029,383,403",3554,Brazil (BR)               ,Film,2014,"['58,334', '24,522,799']","['100,000', '42,039,083']","['500,000', '277,384,211']",$ 15.8K - $ 94.6K
Narendra Modi,"27,500,000","7,159,086,192",30391, ,News,2007,"['50,000', '37,216,786']","['200,000', '93,662,033']","['900,000', '758,202,737']",$ 35.1K - $ 211K
Like Nastya AE,"27,500,000","14,040,394,215",843,United States (US)               ,Entertainment,2018,"['25,926', '10,022,533']","['100,000', '55,087,963']","['300,000', '163,614,284']",$ 20.7K - $ 124K
FaZe Rug,"27,500,000","9,649,236,700",2426,United States (US)               ,Gaming,2012,"['31,819', '19,907,520']","['136,364', '36,971,108']","['300,000', '194,250,532']",$ 13.9K - $ 83.2K
Nicki Minaj,"27,500,000","11,909,881,286",67, ,Music,2013,"['30,435', '14,022,190']","['130,435', '60,095,102']","['200,000', '193,388,299']",
Koray Zeynep,"27,300,000","27,614,688,300",4702,Turkey (TR)               ,People,2016,"['24,138', '130,670,351']","['103,449', '298,675,086']","['600,000', '1,265,413,825']",$ 112K - $ 672K
Republic Bharat,"27,300,000","16,324,581,420",248739,India (IN)               ,News,2019,"['93,334', '81,894,990']","['400,000', '357,433,610']","['900,000', '951,855,964']",$ 134K - $ 804K
David Guetta,"27,300,000","21,069,443,853",950, ,Music,2009,"['50,000', '40,620,419']","['100,000', '174,087,509']","['200,000', '365,278,058']",$ 65.3K - $ 392K
WORLDSTARHIPHOP,"27,300,000","21,710,411,032",7276, ,Music,2008,"['0', '13,413,333']","['0', '26,826,666']","['100,000', '176,046,646']",$ 10.1K - $ 60.4K
Chuster,"27,200,000","5,440,276,541",1331,Spain (ES)               ,Entertainment,2015,"['107,693', '117,106,117']","['200,000', '217,482,787']","['1,400,000', '510,280,928']",$ 81.6K - $ 489K
Pawan Sahu,"27,200,000","12,396,477,595",2198,India (IN)               ,Youtuber,2017,"['50,000', '491,414']","['100,000', '982,829']","['300,000', '211,866,499']",
èèä¸èæ¡,"27,200,000","16,176,486,712",4195,Hong Kong (HK)               ,People,2023,"['131,250', '237,232,152']","['300,000', '542,244,917']","['1,800,000', '1,681,995,496']",$ 203K - $ 1.22M
Vlad and Niki Arabic,"27,100,000","12,848,525,762",740,United States (US)               ,Youtuber,2018,"['53,847', '24,372,924']","['100,000', '45,264,001']","['500,000', '214,136,663']",$ 17K - $ 102K
Sidhu Moose Wala,"27,100,000","8,796,017,279",119,Canada (CA)               ,Music,2017,"['50,000', '44,244,698']","['100,000', '88,489,396']","['700,000', '412,990,697']",$ 33.2K - $ 199K
TRANS7 OFFICIAL,"27,100,000","15,430,746,478",103966,Indonesia (ID)               ,Entertainment,2014,"['0', '13,394,915']","['0', '56,833,761']","['200,000', '205,962,895']",$ 21.3K - $ 128K
Vijay Television,"27,000,000","50,080,014,642",112649,India (IN)               ,Entertainment,2007,"['50,000', '193,426,866']","['100,000', '386,853,731']","['700,000', '1,239,665,129']",$ 145K - $ 870K
Ø·Ø§Ø±Ù Ø§ÙØ­ÙØ¨Ù tarik alhalapi,"27,000,000","17,781,792,392",1752,Turkey (TR)               ,Entertainment,2019,"['25,000', '92,541,495']","['100,000', '345,457,061']","['800,000', '1,247,977,675']",$ 130K - $ 777K
MarÃ­lia MendonÃ§a,"27,000,000","20,884,364,770",242,Brazil (BR)               ,Music,2013,"['0', '40,580,758']","['0', '173,917,534']","['100,000', '358,610,293']",$ 65.2K - $ 391K
Jamuna TV,"27,000,000","23,226,748,121",174956,Bangladesh (BD)               ,News,2017,"['140,000', '147,054,941']","['500,000', '521,242,392']","['1,300,000', '1,523,501,196']",$ 195K - $ 1.17M
La Granja del Borrego,"26,600,000","6,071,978,017",448,Colombia (CO)               ,Pets,2020,"['107,693', '29,069,634']","['200,000', '53,986,462']","['1,000,000', '295,873,881']",$ 20.2K - $ 121K
Smosh,"26,800,000","11,022,187,926",2031,United States (US)               ,Comedy,2005,"['0', '4,325,544']","['0', '8,033,153']","['0', '50,545,365']",$ 3.01K - $ 18.1K
Dan Rhodes,"26,900,000","19,166,240,822",1679,United States (US)               ,Entertainment,2015,"['0', '6,275,106']","['0', '11,653,768']","['100,000', '35,818,279']",$ 4.37K - $ 26.2K
Younes Zarou,"26,800,000","22,895,513,655",4267,United States (US)               ,Entertainment,2021,"['50,000', '45,526,090']","['100,000', '91,052,179']","['500,000', '384,759,747']",$ 34.1K - $ 205K
Like Nastya PRT,"26,800,000","15,215,571,305",834,Russian Federation (RU)               ,Entertainment,2019,"['24,138', '11,563,115']","['103,449', '26,429,975']","['200,000', '216,374,139']",$ 9.91K - $ 59.5K
LosPolinesios,"26,800,000","8,363,275,283",1210,Mexico (MX)               ,People,2012,"['0', '10,074,909']","['0', '20,149,818']","['100,000', '117,285,239']",$ 7.56K - $ 45.3K
Venus Movies,"26,700,000","6,223,221,469",2189,India (IN)               ,Entertainment,2010,"['0', '10,718,550']","['0', '19,905,877']","['200,000', '124,989,739']",$ 7.46K - $ 44.8K
SOMOY TV,"26,700,000","18,711,942,492",238727, ,News,2015,"['46,667', '36,518,384']","['200,000', '144,194,380']","['600,000', '435,222,400']",$ 54.1K - $ 324K
Mau McMahon,"26,700,000","6,364,303,731",1082,Mexico (MX)               ,Entertainment,2018,"['43,750', '44,034,553']","['100,000', '100,650,406']","['1,300,000', '422,909,221']",$ 37.7K - $ 226K
Maya and Mary,"26,600,000","7,586,232,317",586,United States (US)               ,Entertainment,2013,"['28,000', '4,474,806']","['120,000', '8,949,611']","['360,000', '20,496,077']",$ 3.36K - $ 20.1K
RubÃ©n Tuesta oficial,"26,600,000","17,099,101,939",1458,Argentina (AR)               ,Comedy,2016,"['43,750', '114,297,935']","['100,000', '261,252,422']","['800,000', '891,470,316']",$ 98K - $ 588K
BB Ki Vines,"26,600,000","5,164,925,124",194,India (IN)               ,Entertainment,2015,"['0', '2,804,704']","['0', '10,184,951']","['0', '39,136,260']",$ 3.82K - $ 22.9K
Rans Entertainment,"26,500,000","7,049,421,028",4665,Indonesia (ID)               ,People,2015,"['46,667', '5,338,536']","['100,000', '19,984,882']","['100,000', '71,712,464']",$ 7.49K - $ 45K
MrBeast en EspaÃ±ol,"26,500,000","3,203,486,109",67,United States (US)               ,Entertainment,2021,"['0', '3,208,175']","['0', '5,499,727']","['100,000', '38,999,075']",$ 2.06K - $ 12.4K
Tibo InShape,"26,500,000","19,896,541,178",5147, ,Sports,2008,"['50,000', '103,764,898']","['100,000', '207,529,796']","['600,000', '774,979,304']",$ 77.8K - $ 467K
Sesame Street,"26,500,000","26,275,687,916",3869,United States (US)               ,Entertainment,2006,"['53,847', '101,629,099']","['200,000', '284,585,337']","['900,000', '796,715,474']",$ 107K - $ 640K
netd mÃ¼zik,"26,500,000","54,425,650,935",20694, ,Music,2014,"['50,000', '120,546,207']","['100,000', '241,092,413']","['200,000', '155,932,084']",$ 90.4K - $ 542K
æå­æ Liziqi,"26,400,000","3,324,380,467",131,China (CN)               ,Howto,2017,"['93,334', '2,146,406']","['300,000', '8,321,286']","['2,100,000', '31,143,098']",$ 3.12K - $ 18.7K
1MILLION Dance Studio,"26,400,000","8,515,858,600",8515,,Entertainment,2015,"['0', '7,117,215']","['0', '15,251,173']","['100,000', '93,036,887']",$ 5.72K - $ 34.3K
Netflix India,"26,400,000","12,058,039,498",5554,India (IN)               ,People,2016,"['26,924', '52,159,391']","['115,385', '104,318,781']","['600,000', '630,808,861']",$ 39.1K - $ 235K
Goldmines Cineplex,"26,300,000","3,281,298,218",5016,India (IN)               ,Film,2015,"['26,924', '12,037,348']","['115,385', '24,074,695']","['300,000', '104,189,325']",$ 9.03K - $ 54.2K
ANYA KOVA,"26,300,000","23,757,390,964",4841,United States (US)               ,People,2020,"['0', '59,193,132']","['0', '118,386,263']","['300,000', '552,114,978']",$ 44.4K - $ 266K
Nick Pro,"26,100,000","10,357,985,131",729, ,Sports,2010,"['46,667', '23,494,339']","['200,000', '108,677,616']","['400,000', '287,691,105']",$ 40.8K - $ 245K
TED,"26,000,000","2,873,231,120",5065,United States (US)               ,People,2006,"['50,000', '3,669,248']","['100,000', '7,338,496']","['300,000', '40,743,706']",$ 2.75K - $ 16.5K
RKD Studios,"26,000,000","6,774,096,571",1138,India (IN)               ,Entertainment,2014,"['46,667', '19,367,343']","['200,000', '130,066,427']","['600,000', '116,003,553']",$ 48.8K - $ 293K
BabyBus - Cerita & Lagu Anak-anak,"25,900,000","15,955,068,342",1391,Indonesia (ID)               ,Education,2019,"['53,847', '59,257,972']","['100,000', '110,050,518']","['600,000', '544,744,660']",$ 41.3K - $ 248K
Lucan Pevidor,"26,000,000","13,198,622,838",1402,Brazil (BR)               ,Entertainment,2021,"['53,847', '114,440,238']","['100,000', '212,531,870']","['700,000', '807,452,913']",$ 79.7K - $ 478K
GMA Public Affairs,"25,900,000","16,855,442,399",72598, ,Entertainment,2009,"['50,000', '48,881,335']","['100,000', '97,762,669']","['700,000', '624,949,818']",$ 36.7K - $ 220K
Zidaan Shahid Aly,"25,900,000","17,737,198,400",4989,India (IN)               ,People,2021,"['262,500', '544,699,986']","['600,000', '1,245,028,538']","['4,000,000', '4,572,624,274']",$ 467K - $ 2.8M
VanossGaming,"25,900,000","16,477,935,679",2058,Canada (CA)               ,Gaming,2011,"['0', '8,261,824']","['0', '18,884,167']","['0', '114,979,669']",$ 7.08K - $ 42.5K
Wave Music Bhojpuri,"25,900,000","15,016,723,957",24451, ,Music,2014,"['26,924', '14,919,220']","['100,000', '58,365,560']","['300,000', '182,048,405']",$ 21.9K - $ 131K
Busy Fun Ltd,"25,900,000","10,894,919,293",301,India (IN)               ,Youtuber,2019,"['43,750', '29,518,029']","['200,000', '126,361,117']","['800,000', '396,321,665']",$ 47.4K - $ 284K
Eva Bravo Play,"25,700,000","12,642,097,658",407,United States (US)               ,Entertainment,2019,"['31,819', '27,783,950']","['136,364', '51,598,764']","['200,000', '270,334,555']",$ 19.3K - $ 116K
albert_cancook,"25,800,000","20,342,887,791",815,United States (US)               ,Howto,2020,"['100,000', '160,284,608']","['200,000', '320,569,215']","['1,100,000', '1,291,724,363']",$ 120K - $ 721K
deepesh zo,"25,800,000","11,285,844,498",1151,India (IN)               ,People,2021,"['131,250', '105,204,302']","['400,000', '311,646,783']","['700,000', '511,721,791']",$ 117K - $ 701K
Wow Kidz Action,"25,800,000","11,547,042,224",7006,India (IN)               ,Film,2017,"['93,334', '43,351,965']","['300,000', '152,403,341']","['600,000', '333,294,289']",$ 57.2K - $ 343K
Las Ratitas,"25,700,000","10,135,946,745",225,Spain (ES)               ,People,2015,"['25,926', '3,779,447']","['100,000', '13,630,637']","['100,000', '52,279,014']",$ 5.11K - $ 30.7K
WatchMojo.com,"25,700,000","17,360,515,347",29525,Canada (CA)               ,Music,2007,"['53,847', '11,170,053']","['100,000', '20,744,383']","['100,000', '105,190,713']",$ 7.78K - $ 46.7K
Jake Fellman,"25,700,000","16,624,461,146",471,United States (US)               ,Entertainment,2012,"['0', '22,558,505']","['0', '41,894,365']","['200,000', '203,334,176']",$ 15.7K - $ 94.3K
Minecraft - Topic,"25,700,000",0,0, ,Youtuber,2013,"['116,667', '0']","['200,000', '0']","['600,000', '0']",$ 0 - $ 0
Noman Official,"25,600,000","8,978,436,295",1029,India (IN)               ,Comedy,2019,"['107,693', '41,401,505']","['200,000', '76,888,509']","['900,000', '369,886,219']",$ 28.8K - $ 173K
Chloe Ting,"25,700,000","3,349,245,882",482,Australia (AU)               ,Howto,2011,"['0', '3,487,420']","['0', '6,974,839']","['100,000', '40,795,944']",$ 2.62K - $ 15.7K
